code,value
AL,29
AK,50
AZ,51
AR,28
CA,21
CO,34
CT,49
DE,43
DC,2
FL,31
GA,41
HI,23
ID,12
IL,26
IN,18
IA,37
KS,47
KY,8
LA,38
ME,20
MD,5
MA,27
MI,15
MN,16
MS,14
MO,23
MT,6
NE,46
NV,30
NH,34
NJ,11
NM,18
NY,22
NC,23
ND,4
OH,10
OK,39
OR,36
PA,3
RI,17
SC,32
SD,1
TN,40
TX,33
UT,45
VT,9
VA,44
WA,41
WV,48
WI,7
WY,13
